"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"下午 01:34:41.7527065","chrome.exe","35816","TCP Receive","Cyborg15:53703 -> ec2-3-219-80-215.compute-1.amazonaws.com:https","SUCCESS","Length: 31, seqnum: 0, connid: 0"
"下午 01:34:41.7569148","chrome.exe","35816","TCP Send","Cyborg15:53703 -> ec2-3-219-80-215.compute-1.amazonaws.com:https","SUCCESS","Length: 35, startime: 115014946, endtime: 115014946, seqnum: 0, connid: 0"
"下午 01:34:41.8322330","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 19.0000000 seconds, Kernel Time: 14.6250000 seconds, Private Bytes: 263,012,352, Working Set: 317,460,480"
"下午 01:34:41.8322337","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,018,240"
"下午 01:34:41.8322343","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4843750 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 436,031,488, Working Set: 417,824,768"
"下午 01:34:41.8322349","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5156250 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,658,560, Working Set: 58,712,064"
"下午 01:34:41.8322356","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,372,352"
"下午 01:34:41.8322362","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 152,141,824"
"下午 01:34:41.8322375","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,725,824, Working Set: 46,764,032"
"下午 01:34:41.8322382","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 41,857,024"
"下午 01:34:41.8322408","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,267,200"
"下午 01:34:41.8322414","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,854,784, Working Set: 84,537,344"
"下午 01:34:41.8322421","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 41,971,712"
"下午 01:34:41.8322428","chrome.exe","78676","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 18,661,376, Working Set: 41,644,032"
"下午 01:34:41.8322434","chrome.exe","45012","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 20,508,672, Working Set: 43,884,544"
